layer_group,layers,alpha,condition,trait,target_direction,n,mean_consistency,mean_trait_target_attainment,mean_bfi_target_attainment,pas_loglik_agreement_rate,vector_hash
early,"6,9",4.0,as_pas_only,agreeableness,high,50,0.9375214708685908,0.0004133589163804,0.0555555555555555,0.18,05ffd3fc7c00e7dee49ca10981cb7569ad7667ff88684c7c148c83df65e9d640
early,"6,9",4.0,as_pas_only,agreeableness,low,50,0.931159681319201,0.0095089716916703,-0.0555555555555555,0.3,05ffd3fc7c00e7dee49ca10981cb7569ad7667ff88684c7c148c83df65e9d640
middle,"18,21,24",4.0,as_pas_only,agreeableness,high,50,0.9515168519661904,0.0319072346321544,0.0555555555555555,0.32,93a513812b6c888bbcb29f48d5b3ad589abe8fd6c697a270021dbb48e59a19dc
middle,"18,21,24",4.0,as_pas_only,agreeableness,low,50,0.8930676875909327,0.0507158531911541,-0.0555555555555555,0.46,93a513812b6c888bbcb29f48d5b3ad589abe8fd6c697a270021dbb48e59a19dc
late,"30,33,35",4.0,as_pas_only,agreeableness,high,50,0.9357863296865904,-0.0015428501441743,0.0555555555555555,0.2,7e7334028bf3204f821d53b540d383fe53549bab0b6dbbf1bc17997e0edb9e4d
late,"30,33,35",4.0,as_pas_only,agreeableness,low,50,0.9304502332830878,0.0081729874249724,-0.0555555555555555,0.3,7e7334028bf3204f821d53b540d383fe53549bab0b6dbbf1bc17997e0edb9e4d
