vector_option,condition,persona,n_total,n_valid,align_itt,align_itt_ci_low,align_itt_ci_high,align_pp,align_pp_ci_low,align_pp_ci_high,align_itt_vs_chance,unique_actions
neg,as_only_neg,aggressive,15,15,1.0,0.7961166989641515,1.0,1.0,0.7961166989641515,1.0,0.5999999999999999,3
neg,as_only_neg,cooperative,15,15,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.26666666666666655,3
sep_neutral_anchor,as_only_sep,aggressive,15,15,1.0,0.7961166989641515,1.0,1.0,0.7961166989641515,1.0,0.5999999999999999,3
sep_neutral_anchor,as_only_sep,cooperative,15,15,0.0,0.0,0.20388330103584862,0.0,0.0,0.20388330103584862,-0.4000000000000001,3
