left,right,layer,cosine_similarity
contrast,orthogonalized.cooperative,30,-0.9470255970954895
contrast,orthogonalized.cooperative,33,-0.9411090016365051
contrast,orthogonalized.cooperative,35,-0.872555136680603
contrast,orthogonalized.cooperative,mean,-0.9539914396074083
contrast_explicit.aggressive,contrast_explicit.cooperative,6,-1.0000001192092896
contrast_explicit.aggressive,contrast_explicit.cooperative,9,-0.9999999403953552
contrast_explicit.aggressive,contrast_explicit.cooperative,12,-1.0
contrast_explicit.aggressive,contrast_explicit.cooperative,18,-1.0000001192092896
contrast_explicit.aggressive,contrast_explicit.cooperative,21,-1.000000238418579
contrast_explicit.aggressive,contrast_explicit.cooperative,24,-0.9999997615814209
contrast_explicit.aggressive,contrast_explicit.cooperative,30,-1.0
contrast_explicit.aggressive,contrast_explicit.cooperative,33,-1.0
contrast_explicit.aggressive,contrast_explicit.cooperative,35,-0.9999999403953552
contrast_explicit.aggressive,contrast_explicit.cooperative,mean,-1.0000000132454767
contrast_explicit.aggressive,cooperative,6,-0.5424377918243408
contrast_explicit.aggressive,cooperative,9,-0.4495694935321808
contrast_explicit.aggressive,cooperative,12,-0.503759503364563
contrast_explicit.aggressive,cooperative,18,-0.31228721141815186
contrast_explicit.aggressive,cooperative,21,-0.1716080605983734
contrast_explicit.aggressive,cooperative,24,-0.1757029891014099
contrast_explicit.aggressive,cooperative,30,-0.15030016005039215
contrast_explicit.aggressive,cooperative,33,-0.11823742091655731
contrast_explicit.aggressive,cooperative,35,0.07554496079683304
contrast_explicit.aggressive,cooperative,mean,-0.2609286300010151
contrast_explicit.aggressive,orthogonalized.aggressive,6,0.9468133449554443
contrast_explicit.aggressive,orthogonalized.aggressive,9,0.9723865985870361
contrast_explicit.aggressive,orthogonalized.aggressive,12,0.9769331216812134
contrast_explicit.aggressive,orthogonalized.aggressive,18,0.9997023940086365
contrast_explicit.aggressive,orthogonalized.aggressive,21,0.9689153432846069
contrast_explicit.aggressive,orthogonalized.aggressive,24,0.9604305028915405
contrast_explicit.aggressive,orthogonalized.aggressive,30,0.9470303654670715
contrast_explicit.aggressive,orthogonalized.aggressive,33,0.941128671169281
contrast_explicit.aggressive,orthogonalized.aggressive,35,0.8724892139434814
contrast_explicit.aggressive,orthogonalized.aggressive,mean,0.9539810617764791
contrast_explicit.aggressive,orthogonalized.cooperative,6,-0.9468144774436951
contrast_explicit.aggressive,orthogonalized.cooperative,9,-0.9724185466766357
contrast_explicit.aggressive,orthogonalized.cooperative,12,-0.976921796798706
contrast_explicit.aggressive,orthogonalized.cooperative,18,-0.9997004866600037
contrast_explicit.aggressive,orthogonalized.cooperative,21,-0.9689270257949829
contrast_explicit.aggressive,orthogonalized.cooperative,24,-0.9604508876800537
contrast_explicit.aggressive,orthogonalized.cooperative,30,-0.9470255970954895
contrast_explicit.aggressive,orthogonalized.cooperative,33,-0.9411090016365051
contrast_explicit.aggressive,orthogonalized.cooperative,35,-0.872555136680603
contrast_explicit.aggressive,orthogonalized.cooperative,mean,-0.9539914396074083
contrast_explicit.cooperative,cooperative,6,0.5424377918243408
contrast_explicit.cooperative,cooperative,9,0.4495694935321808
contrast_explicit.cooperative,cooperative,12,0.503759503364563
