condition,persona,n,parse_ok_rate,persona_alignment_rate,neutral_action_rate,misaligned_action_rate,unknown_action_rate,speech_action_agreement_rate,action_entropy,unique_actions
as_only,aggressive,15,1.0,1.0,0.0,0.0,0.0,0.0,1.0986122886681096,3
as_only,cooperative,15,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0986122886681096,3
neutral_baseline,aggressive,15,1.0,1.0,0.0,0.0,0.0,0.0,1.0986122886681096,3
neutral_baseline,cooperative,15,1.0,0.0,0.0,1.0,0.0,0.0,1.0986122886681096,3
prompt_baseline,aggressive,15,1.0,1.0,0.0,0.0,0.0,0.0,1.0986122886681096,3
prompt_baseline,cooperative,15,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0986122886681096,3
