condition,persona,n,parse_ok_rate,persona_alignment_rate,neutral_action_rate,misaligned_action_rate,unknown_action_rate,speech_action_agreement_rate,action_entropy,unique_actions
as_only,aggressive,300,0.43333333333333335,0.4033333333333333,0.06,0.21666666666666667,0.32,0.06,2.6726128421049267,31
as_only,cooperative,300,0.4533333333333333,0.3233333333333333,0.07,0.09,0.5166666666666667,0.07,2.037854184086903,24
neutral_baseline,aggressive,300,0.4666666666666667,0.12333333333333334,0.06333333333333334,0.38666666666666666,0.4266666666666667,0.06333333333333334,2.3437701296306246,25
neutral_baseline,cooperative,300,0.42333333333333334,0.34,0.08333333333333333,0.12333333333333334,0.4533333333333333,0.09,2.3233124654244737,28
prompt_baseline,aggressive,300,0.54,0.5666666666666667,0.0,0.16,0.2733333333333333,0.0,2.5822181294808635,24
prompt_baseline,cooperative,300,0.44,0.38333333333333336,0.06333333333333334,0.04666666666666667,0.5066666666666667,0.06333333333333334,1.9273245912113584,19
