condition,persona,n_total,n_valid,align_itt,align_itt_ci_low,align_itt_ci_high,align_itt_vs_chance,align_pp,align_pp_ci_low,align_pp_ci_high,align_pp_vs_chance,chance_alignment_rate,or_itt_vs_neutral,or_itt_ci_low,or_itt_ci_high,or_pp_vs_neutral,or_pp_ci_low,or_pp_ci_high,entropy,unique_actions
as_only_neg,aggressive,30,30,0.6,0.42320360253322475,0.7540937188319815,0.19999999999999984,0.6,0.42320360253322475,0.7540937188319815,0.19999999999999984,0.40000000000000013,1.9185185185185185,0.6991320307938477,5.264689849382425,1.9185185185185185,0.6991320307938477,5.264689849382425,3.401197381662154,30
as_only_neg,cooperative,30,30,0.7,0.5212421254128504,0.8333525173175619,0.2999999999999998,0.7,0.5212421254128504,0.8333525173175619,0.2999999999999998,0.40000000000000013,3.8375286041189933,1.3355341839350967,11.026768138603591,3.8375286041189933,1.3355341839350967,11.026768138603591,3.401197381662154,30
as_only_sep,aggressive,30,30,0.6,0.42320360253322475,0.7540937188319815,0.19999999999999984,0.6,0.42320360253322475,0.7540937188319815,0.19999999999999984,0.40000000000000013,1.9185185185185185,0.6991320307938477,5.264689849382425,1.9185185185185185,0.6991320307938477,5.264689849382425,3.401197381662154,30
as_only_sep,cooperative,30,30,0.7,0.5212421254128504,0.8333525173175619,0.2999999999999998,0.7,0.5212421254128504,0.8333525173175619,0.2999999999999998,0.40000000000000013,3.8375286041189933,1.3355341839350967,11.026768138603591,3.8375286041189933,1.3355341839350967,11.026768138603591,3.401197381662154,30
neutral_baseline,aggressive,30,30,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.033333333333333215,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.033333333333333215,0.40000000000000013,1.0,1.0,1.0,1.0,1.0,1.0,3.401197381662154,30
neutral_baseline,cooperative,30,30,0.36666666666666664,0.21873920806100708,0.5448643634520511,-0.03333333333333349,0.36666666666666664,0.21873920806100708,0.5448643634520511,-0.03333333333333349,0.40000000000000013,1.0,1.0,1.0,1.0,1.0,1.0,3.401197381662154,30
prompt_as,aggressive,30,30,0.8,0.6269430358685175,0.9049489282271013,0.3999999999999999,0.8,0.6269430358685175,0.9049489282271013,0.3999999999999999,0.40000000000000013,4.886039886039886,1.5960312233703662,14.957969128923956,4.886039886039886,1.5960312233703662,14.957969128923956,3.401197381662154,30
prompt_as,cooperative,30,30,0.7333333333333333,0.555520383048111,0.8581733668040368,0.33333333333333315,0.7333333333333333,0.555520383048111,0.8581733668040368,0.33333333333333315,0.40000000000000013,4.4884910485933505,1.5332806897654834,13.139506698140227,4.4884910485933505,1.5332806897654834,13.139506698140227,3.401197381662154,30
prompt_baseline,aggressive,30,30,0.9,0.7437891742081593,0.9654001112526658,0.4999999999999999,0.9,0.7437891742081593,0.9654001112526658,0.4999999999999999,0.40000000000000013,10.185185185185185,2.721942674956872,38.111749454150214,10.185185185185185,2.721942674956872,38.111749454150214,3.401197381662154,30
prompt_baseline,cooperative,30,30,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.3666666666666666,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.3666666666666666,0.40000000000000013,5.3130434782608695,1.7712162888950505,15.937314476426975,5.3130434782608695,1.7712162888950505,15.937314476426975,3.401197381662154,30
