condition,persona,n_total,n_valid,align_itt,align_itt_ci_low,align_itt_ci_high,align_itt_vs_chance,align_pp,align_pp_ci_low,align_pp_ci_high,align_pp_vs_chance,chance_alignment_rate,or_itt_vs_neutral,or_itt_ci_low,or_itt_ci_high,or_pp_vs_neutral,or_pp_ci_low,or_pp_ci_high,entropy,unique_actions
as_only_neg,aggressive,15,15,1.0,0.7961166989641515,1.0,0.5999999999999999,1.0,0.7961166989641515,1.0,0.5999999999999999,0.4000000000000001,1.0,0.018636173050774828,53.65908533235172,1.0,0.018636173050774828,53.65908533235172,1.0986122886681096,3
as_only_neg,cooperative,15,15,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.26666666666666655,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.26666666666666655,0.4000000000000001,59.18181818181818,2.9489194656392943,1187.718974396096,59.18181818181818,2.9489194656392943,1187.718974396096,1.0986122886681096,3
as_only_orth,aggressive,15,15,1.0,0.7961166989641515,1.0,0.5999999999999999,1.0,0.7961166989641515,1.0,0.5999999999999999,0.4000000000000001,1.0,0.018636173050774828,53.65908533235172,1.0,0.018636173050774828,53.65908533235172,1.0986122886681096,3
as_only_orth,cooperative,15,15,0.3333333333333333,0.15176324439714725,0.5828645226148023,-0.06666666666666676,0.3333333333333333,0.15176324439714725,0.5828645226148023,-0.06666666666666676,0.4000000000000001,16.238095238095237,0.8091139576924139,325.88207687511937,16.238095238095237,0.8091139576924139,325.88207687511937,1.0986122886681096,3
as_only_sep,aggressive,15,15,1.0,0.7961166989641515,1.0,0.5999999999999999,1.0,0.7961166989641515,1.0,0.5999999999999999,0.4000000000000001,1.0,0.018636173050774828,53.65908533235172,1.0,0.018636173050774828,53.65908533235172,1.0986122886681096,3
as_only_sep,cooperative,15,15,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.26666666666666655,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.26666666666666655,0.4000000000000001,59.18181818181818,2.9489194656392943,1187.718974396096,59.18181818181818,2.9489194656392943,1187.718974396096,1.0986122886681096,3
as_only_sep_neutral_anchor,aggressive,15,15,1.0,0.7961166989641515,1.0,0.5999999999999999,1.0,0.7961166989641515,1.0,0.5999999999999999,0.4000000000000001,1.0,0.018636173050774828,53.65908533235172,1.0,0.018636173050774828,53.65908533235172,1.0986122886681096,3
as_only_sep_neutral_anchor,cooperative,15,15,0.0,0.0,0.20388330103584862,-0.4000000000000001,0.0,0.0,0.20388330103584862,-0.4000000000000001,0.4000000000000001,1.0,0.018636173050774828,53.65908533235172,1.0,0.018636173050774828,53.65908533235172,1.0986122886681096,3
neutral_baseline,aggressive,15,15,1.0,0.7961166989641515,1.0,0.5999999999999999,1.0,0.7961166989641515,1.0,0.5999999999999999,0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0986122886681096,3
neutral_baseline,cooperative,15,15,0.0,0.0,0.20388330103584862,-0.4000000000000001,0.0,0.0,0.20388330103584862,-0.4000000000000001,0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0986122886681096,3
prompt_baseline,aggressive,15,15,1.0,0.7961166989641515,1.0,0.5999999999999999,1.0,0.7961166989641515,1.0,0.5999999999999999,0.4000000000000001,1.0,0.018636173050774828,53.65908533235172,1.0,0.018636173050774828,53.65908533235172,1.0986122886681096,3
prompt_baseline,cooperative,15,15,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.26666666666666655,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.26666666666666655,0.4000000000000001,59.18181818181818,2.9489194656392943,1187.718974396096,59.18181818181818,2.9489194656392943,1187.718974396096,1.0986122886681096,3
